Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min
2015-2016,Bournemouth,Artur Boruc,2880,37,51,-14,-0.004861111111111111
2015-2016,Bournemouth,Simon Francis,3420,43,67,-24,-0.007017543859649123
2015-2016,Bournemouth,Steve Cook,3196,40,63,-23,-0.0071964956195244055
2015-2016,Bournemouth,Tommy Elphick,1012,12,23,-11,-0.010869565217391304
2015-2016,Bournemouth,Andrew Surman,3420,43,67,-24,-0.007017543859649123
2015-2016,Bournemouth,Harry Arter,1674,17,25,-8,-0.0047789725209080045
2015-2016,Bournemouth,Benik Afobe,937,12,17,-5,-0.005336179295624333
2015-2016,Bournemouth,Max Gradel,899,10,18,-8,-0.008898776418242492
2015-2016,Bournemouth,Charlie Daniels,3286,42,63,-21,-0.006390748630553865
2015-2016,Bournemouth,Junior Stanislas,1440,16,23,-7,-0.004861111111111111
2015-2016,Bournemouth,Lewis Grabban,810,10,18,-8,-0.009876543209876543
2015-2016,Bournemouth,Adam Federici,496,3,15,-12,-0.024193548387096774
2015-2016,Bournemouth,Dan Gosling,2431,32,45,-13,-0.0053475935828877
2015-2016,Bournemouth,Callum Wilson,771,11,15,-4,-0.005188067444876783
2015-2016,Bournemouth,Joshua King,1924,25,39,-14,-0.007276507276507277
2015-2016,Bournemouth,Matt Ritchie,2978,37,58,-21,-0.007051712558764272
2015-2016,Bournemouth,Eunan O'Kane,729,8,20,-12,-0.01646090534979424
2015-2016,Aston Villa,Mark Bunn,900,7,17,-10,-0.011111111111111112
2015-2016,Aston Villa,Ciaran Clark,1440,10,30,-20,-0.013888888888888888
2015-2016,Aston Villa,Leandro Bacuna,2418,22,47,-25,-0.01033912324234905
2015-2016,Aston Villa,Idrissa Gana Gueye,3076,22,62,-40,-0.013003901170351105
2015-2016,Aston Villa,Scott Sinclair,1574,14,34,-20,-0.012706480304955527
2015-2016,Aston Villa,Ashley Westwood,2719,19,59,-40,-0.01471129091577786
2015-2016,Aston Villa,Joleon Lescott,2811,22,60,-38,-0.01351832088224831
2015-2016,Aston Villa,Jordan Ayew,2427,14,48,-34,-0.014009064688916358
2015-2016,Aston Villa,Alan Hutton,2326,18,52,-34,-0.014617368873602751
2015-2016,Aston Villa,Carlos Sánchez,1370,11,29,-18,-0.013138686131386862
